,date,price(RMB/ton),highest(RMB/ton),lower(RMB/ton),close(RMB/ton),upper(percent),daily_total_volume(tons),daily_total_transaction_volume(RMB)
96,2024/8/8,91.60,91.93,91.60,91.93,+ 0.19%,"113,200","10,320,800.00"
97,2024/8/7,91.57,92.00,91.57,91.76,- 0.12%,"231,000","20,971,200.00"
98,2024/8/6,91.83,92.17,91.83,91.87,+ 0.46%,"55,503","5,111,776.00"
99,2024/8/5,89.90,92.17,89.90,91.45,+ 1.46%,"650,528","58,987,416.00"
100,2024/8/2,89.80,90.17,89.80,90.13,- 0.04%,"153,000","13,826,700.00"
101,2024/8/1,90.67,91.00,89.83,90.17,- 1.13%,"12,000","1,075,000.00"
102,2024/7/31,91.40,91.78,91.00,91.20,- 0.01%,"30,384","2,752,644.00"
103,2024/7/30,92.00,92.33,91.00,91.21,- 0.43%,"137,005","12,538,457.50"
104,2024/7/29,91.60,91.60,91.60,91.60,0 ,"174,005","15,982,357.50"
105,2024/7/26,91.60,91.60,91.60,91.60,+ 1.26%,"10,000","918,000.00"
106,2024/7/25,89.79,91.17,89.79,90.46,- 0.53%,"276,120","25,065,660.00"
107,2024/7/24,89.12,90.95,88.95,90.94,+ 2.87%,"597,446","54,931,836.00"
108,2024/7/23,87.77,89.40,87.17,88.40,- 0.80%,"164,508","14,915,728.00"
109,2024/7/22,87.50,89.17,87.50,89.11,+ 0.56%,"54,500","4,949,500.00"
110,2024/7/19,87.50,89.17,87.50,88.61,+ 1.27%,"33,401","2,983,988.00"
111,2024/7/18,86.86,87.50,86.86,87.50,+ 0.74%,"288,600","26,193,300.00"
112,2024/7/17,86.86,86.86,86.86,86.86,- 0.81%,"302,000","27,172,000.00"
113,2024/7/16,86.86,88.19,86.86,87.57,+ 0.60%,"10,720","944,581.60"
114,2024/7/15,88.49,89.66,87.52,87.05,- 3.47%,"10,065","865,642.00"
115,2024/7/12,88.87,91.13,88.87,90.18,+ 0.33%,"253,144","23,052,340.00"
116,2024/7/11,90.52,90.90,89.50,89.88,- 1.04%,"187,189","16,842,681.40"
117,2024/7/10,90.17,91.47,90.17,90.82,- 0.06%,"347,005","32,239,962.50"
118,2024/7/9,90.66,90.87,90.66,90.87,+ 0.26%,"9,005","797,262.50"
119,2024/7/8,90.61,90.64,90.61,90.63,+ 0.02%,"335,015","29,983,887.00"
120,2024/7/5,89.80,90.80,89.47,90.61,- 0.21%,"38,500","3,509,500.00"
121,2024/7/4,90.80,90.80,90.80,90.80,0 ,"20,000","1,820,000.00"
122,2024/7/3,90.47,91.13,90.13,90.80,- 0.58%,"168,000","15,132,000.00"
123,2024/7/2,88.00,91.47,88.00,91.33,+ 3.34%,"33,000","3,022,000.00"
124,2024/7/1,89.74,89.74,88.00,88.38,- 2.51%,"11,010","999,840.00"
125,2024/6/28,92.10,92.24,90.10,90.66,- 1.60%,"351,868","32,200,909.60"
126,2024/6/27,93.00,93.00,91.77,92.13,- 0.80%,"827,010","74,514,001.00"
127,2024/6/26,88.67,92.97,88.67,92.87,+ 4.49%,"362,100","32,467,900.00"
128,2024/6/25,91.12,91.38,88.93,88.88,- 2.42%,"769,010","72,062,140.00"
129,2024/6/24,90.71,91.11,90.71,91.08,- 0.38%,"24,000","2,234,700.00"
130,2024/6/21,91.08,93.17,90.33,91.43,+ 0.02%,"51,497","4,848,335.00"
131,2024/6/20,91.67,91.67,90.33,91.41,- 1.40%,"6,010","564,080.00"
132,2024/6/19,93.00,93.00,92.67,92.71,- 1.89%,"284,861","20,866,167.61"
133,2024/6/18,94.67,94.67,94.50,94.50,- 0.18%,"24,907","2,392,025.50"
134,2024/6/17,94.67,94.67,94.67,94.67,0 ,"4,005","386,482.50"
135,2024/6/14,96.50,96.50,94.67,94.67,- 1.88%,"17,100","1,649,600.00"
136,2024/6/13,96.17,96.50,96.17,96.48,+ 0.32%,"262,653","25,295,514.50"
137,2024/6/12,93.50,96.17,93.50,96.17,+ 3.60%,"90,000","8,640,000.00"
138,2024/6/11,95.97,95.97,92.83,92.83,- 3.37%,"1,152","109,936.00"
139,2024/6/7,95.93,96.60,95.43,96.07,+ 0.67%,"118,915","11,357,820.00"
140,2024/6/6,95.20,95.43,95.20,95.43,- 0.59%,"10,008","968,748.00"
141,2024/6/5,94.00,96.83,91.17,96.00,+ 1.88%,"102,441","9,838,948.00"
142,2024/6/4,95.63,96.87,94.00,94.23,- 1.55%,"75,779","7,320,404.18"
143,2024/6/3,93.83,96.13,92.37,95.71,+ 2.66%,"603,767","58,504,338.86"
144,2024/5/31,93.64,93.64,93.23,93.23,- 0.65%,"402,200","39,089,155.00"
145,2024/5/30,95.11,95.11,93.64,93.84,- 1.34%,108,"10,021.36"
146,2024/5/29,97.23,97.40,93.83,95.11,- 2.12%,"869,560","84,781,622.20"
147,2024/5/28,98.83,98.83,97.17,97.17,- 1.68%,"102,320","10,027,320.00"
148,2024/5/27,97.93,99.04,97.93,98.83,- 0.14%,"7,000","683,520.00"
149,2024/5/24,97.60,99.60,97.60,98.97,+ 0.47%,"145,505","14,265,275.00"
150,2024/5/23,98.10,98.93,98.10,98.51,- 1.75%,"174,000","14,241,000.00"
151,2024/5/22,97.72,100.27,97.72,100.26,+ 2.60%,"262,055","25,618,585.00"
152,2024/5/21,96.50,98.00,96.50,97.72,+ 0.41%,"256,700","21,581,200.00"
153,2024/5/20,97.37,97.37,96.53,97.32,- 2.22%,"273,659","26,808,002.50"
154,2024/5/17,99.67,99.67,99.39,99.53,+ 0.14%,"142,505","10,834,233.35"
155,2024/5/16,97.42,99.39,97.42,99.39,+ 2.02%,105,"10,883.35"
156,2024/5/15,97.84,99.90,96.17,97.42,- 0.43%,"3,210","310,602.00"
157,2024/5/14,95.33,100.03,94.33,97.84,+ 0.87%,250,"24,755.00"
158,2024/5/13,99.00,99.00,97.00,97.00,- 2.02%,55,"5,230.00"
159,2024/5/10,98.09,99.00,98.09,99.00,+ 0.93%,"1,010","100,985.00"
160,2024/5/9,98.09,98.09,98.09,98.09,- 2.97%,"109,050","10,019,200.00"
161,2024/5/8,100.83,101.17,100.83,101.09,- 0.57%,"117,192","11,516,220.00"
162,2024/5/7,103.00,103.00,101.67,101.67,- 1.29%,"15,005","1,500,525.00"
163,2024/5/6,103.00,103.00,103.00,103.00,0 ,5,525.00
164,2024/4/30,103.00,103.00,103.00,103.00,- 0.45%,"104,950","9,549,950.00"
165,2024/4/29,102.19,104.00,102.19,103.47,+ 0.96%,"582,040","57,485,125.00"
166,2024/4/26,102.39,102.69,102.39,102.49,+ 0.08%,"716,953","70,818,179.00"
167,2024/4/25,99.73,103.36,99.73,102.41,+ 1.81%,"527,981","54,379,634.60"
168,2024/4/24,99.52,101.51,98.67,100.59,+ 0.99%,"448,283","45,299,677.24"
169,2024/4/23,97.84,99.76,97.84,99.60,+ 3.47%,"107,779","10,750,805.00"
170,2024/4/22,95.89,98.33,95.89,96.26,+ 1.98%,"716,433","64,363,843.20"
171,2024/4/19,93.29,95.38,93.29,94.39,+ 1.91%,"173,151","16,426,194.00"
172,2024/4/18,91.25,92.88,90.22,92.62,+ 2.25%,"272,915","25,311,087.50"
173,2024/4/17,89.43,90.60,88.80,90.58,+ 1.13%,"218,309","19,992,282.00"
174,2024/4/16,91.70,91.70,89.57,89.57,- 2.99%,"132,800","12,405,680.00"
175,2024/4/15,92.99,92.99,92.33,92.33,+ 0.53%,"2,026","182,470.00"
176,2024/4/12,88.36,92.00,88.36,91.84,+ 4.48%,"384,300","34,801,640.00"
177,2024/4/11,88.71,88.71,87.07,87.90,+ 1.77%,"73,571","6,442,373.40"
178,2024/4/10,86.37,86.37,86.37,86.37,- 2.24%,"915,100","81,169,800.00"
179,2024/4/9,88.37,88.41,87.37,88.35,+ 0.83%,"787,993","70,150,576.16"
180,2024/4/8,87.33,87.67,87.33,87.62,- 0.06%,"195,776","16,753,093.28"
181,2024/4/3,87.67,87.67,87.67,87.67,- 0.20%,"39,998","3,479,826.00"
182,2024/4/2,89.27,90.66,87.60,87.85,- 3.10%,"125,005","10,900,454.85"
183,2024/4/1,90.66,90.66,90.66,90.66,0 ,5,454.85
184,2024/3/29,88.67,90.67,88.67,90.66,+ 0.73%,"10,050","914,250.00"
185,2024/3/28,89.30,90.00,89.30,90.00,+ 0.40%,"3,051","278,058.00"
186,2024/3/27,86.30,89.67,86.00,89.64,+ 4.28%,"125,353","11,231,904.00"
187,2024/3/26,85.83,86.50,85.83,85.96,+ 0.63%,"578,942","51,443,002.00"
188,2024/3/25,82.83,87.33,82.83,85.42,+ 1.90%,"46,000","3,947,000.00"
189,2024/3/22,83.83,83.83,83.83,83.83,0 ,5,400.00
190,2024/3/21,84.49,84.49,83.83,83.83,- 1.24%,"30,100","2,588,550.00"
191,2024/3/20,82.77,85.33,82.77,84.88,+ 4.79%,"59,200","5,168,560.00"
192,2024/3/19,79.67,81.00,79.67,81.00,+ 0.62%,"53,447","4,355,680.50"
193,2024/3/18,79.50,80.50,79.50,80.50,+ 0.63%,"50,100","4,082,850.00"
194,2024/3/15,80.00,80.00,80.00,80.00,- 0.05%,100,"8,000.00"
195,2024/3/14,85.66,85.66,80.00,80.04,- 6.88%,"100,635","8,560,825.00"
196,2024/3/13,85.62,86.12,85.62,85.95,+ 0.44%,"107,110","9,316,581.00"
197,2024/3/12,85.03,85.62,85.03,85.57,+ 2.97%,"308,700","26,599,500.00"
198,2024/3/11,83.10,83.10,83.10,83.10,- 0.28%,"512,250","42,446,285.00"
199,2024/3/8,83.47,83.55,83.35,83.33,+ 0.07%,"430,000","36,299,400.00"
200,2024/3/7,83.27,83.27,83.27,83.27,+ 0.98%,"160,005","13,888,425.00"
201,2024/3/6,78.14,83.58,78.14,82.46,+ 1.84%,"329,396","27,087,214.30"
202,2024/3/5,80.95,81.20,80.87,80.97,+ 0.02%,"97,608","8,337,827.50"
203,2024/3/4,79.83,81.00,79.83,80.95,+ 1.61%,"6,300","538,130.00"
204,2024/3/1,81.33,81.33,79.67,79.67,- 2.41%,"184,635","15,692,475.00"
205,2024/2/29,80.00,82.00,79.67,81.64,+ 2.73%,"331,398","28,482,226.00"
206,2024/2/28,78.08,80.00,78.08,79.47,+ 0.43%,"436,851","36,382,658.04"
207,2024/2/27,79.00,79.24,79.00,79.13,- 0.14%,"340,939","26,971,902.50"
208,2024/2/26,79.67,79.67,78.33,79.24,+ 1.16%,"15,714","1,299,976.00"
209,2024/2/23,78.33,78.33,78.33,78.33,- 1.26%,"225,055","18,058,942.50"
210,2024/2/22,79.17,79.33,79.17,79.33,+ 0.38%,"30,852","2,560,666.00"
211,2024/2/21,78.17,79.17,78.17,79.03,+ 2.20%,"32,599","2,690,717.00"
212,2024/2/20,76.00,77.33,76.00,77.33,+ 3.56%,"186,584","14,926,720.00"
213,2024/2/19,74.67,74.67,74.67,74.67,0 ,5,380.00
214,2024/2/8,74.67,74.67,74.67,74.67,0 ,5,380.00
215,2024/2/7,74.67,74.67,74.67,74.67,- 0.25%,"20,000","1,520,000.00"
216,2024/2/6,74.86,74.86,74.86,74.86,0 ,8,608.00
217,2024/2/5,74.86,74.86,74.86,74.86,+ 0.44%,8,608.00
218,2024/2/2,72.27,75.00,72.27,74.53,+ 3.13%,"703,008","42,439,332.00"
219,2024/2/1,72.67,72.67,71.67,72.27,+ 0.56%,"83,000","6,126,000.00"
220,2024/1/31,71.87,71.87,71.87,71.87,+ 3.16%,"485,310","38,821,095.00"
221,2024/1/30,69.67,69.67,69.67,69.67,- 2.46%,"20,000","1,320,000.00"
222,2024/1/29,70.67,72.87,70.67,71.43,- 1.98%,"530,500","43,234,008.00"
223,2024/1/26,72.84,74.30,72.83,72.87,+ 0.08%,"130,563","8,232,102.74"
224,2024/1/25,72.81,72.81,72.81,72.81,0 ,"120,100","7,447,100.00"
225,2024/1/24,71.00,73.33,71.00,72.81,+ 0.87%,"150,100","11,087,100.00"
226,2024/1/23,71.00,72.33,70.67,72.18,+ 2.14%,949,"70,735.00"
227,2024/1/22,70.67,70.67,70.67,70.67,- 1.83%,100,"7,100.00"
228,2024/1/19,70.67,72.00,70.67,71.99,- 0.01%,"10,100","757,100.00"
