,date,price(RMB/ton),highest(RMB/ton),lower(RMB/ton),close(RMB/ton),upper(percent),daily_total_volume(tons),daily_total_transaction_volume(RMB)
144,2025/5/12,70.02,70.24,69.96,70.14,+0.40%,"325,608","23,055,914.00"
145,2025/5/9,71.16,71.22,69.68,69.86,-2.09%,"256,011","17,877,677.57"
146,2025/5/8,71.30,71.40,71.00,71.35,+0.07%,"156,194","10,942,983.00"
147,2025/5/7,71.30,71.30,71.30,71.30,-0.07%,"310,500","21,725,000.00"
148,2025/5/6,71.46,71.50,71.30,71.35,-0.15%,"453,746","31,764,220.00"
149,2025/4/30,72.35,72.35,71.40,71.46,-2.10%,"818,555","56,638,177.50"
150,2025/4/29,73.03,73.03,72.93,72.99,-0.25%,"465,543","34,270,634.00"
151,2025/4/28,75.75,75.75,73.08,73.17,-3.42%,"427,000","30,756,410.00"
152,2025/4/25,76.00,76.00,75.70,75.76,-0.34%,"550,500","41,394,885.00"
153,2025/4/24,76.50,76.63,76.00,76.02,-1.14%,"232,778","17,695,428.00"
154,2025/4/23,77.00,77.00,76.75,76.90,+0.07%,"116,510","9,039,304.00"
155,2025/4/22,77.40,77.59,76.78,76.85,-3.07%,"548,357","44,216,682.00"
156,2025/4/21,80.60,80.60,79.13,79.28,-1.37%,"166,000","13,095,900.00"
157,2025/4/18,80.99,80.99,80.25,80.38,-0.89%,"552,500","46,877,965.00"
158,2025/4/17,83.46,83.49,80.99,81.10,-2.87%,"227,284","18,339,673.00"
159,2025/4/16,83.49,83.52,83.44,83.50,-0.19%,"97,789","8,024,576.90"
160,2025/4/15,83.74,83.74,83.59,83.66,0,"458,650","37,838,950.00"
161,2025/4/14,85.30,85.38,83.63,83.66,-1.95%,"162,649","13,060,807.40"
162,2025/4/11,85.38,85.38,85.30,85.32,-0.09%,"26,700","2,210,100.00"
163,2025/4/10,85.40,85.62,85.38,85.40,-0.12%,"303,926","24,924,922.00"
164,2025/4/9,85.50,85.50,85.50,85.50,0,"1,000","83,500.00"
165,2025/4/8,85.43,85.50,85.43,85.50,+0.09%,"21,083","1,760,105.60"
166,2025/4/7,85.48,85.48,85.38,85.42,+0.02%,"4,600","382,680.00"
167,2025/4/3,85.40,85.40,85.40,85.40,-0.04%,"273,489","19,297,318.00"
168,2025/4/2,85.45,85.45,85.40,85.43,-0.09%,"250,000","20,061,000.00"
169,2025/4/1,86.25,86.25,85.50,85.51,-0.72%,"201,100","16,893,439.00"
170,2025/3/31,86.13,86.13,86.13,86.13,0,"1,010,000","76,840,000.00"
171,2025/3/28,86.13,86.13,86.13,86.13,0,"140,500","11,802,000.00"
172,2025/3/27,86.12,86.38,86.00,86.13,+0.44%,"300,487","23,977,926.00"
173,2025/3/26,86.82,86.82,85.58,85.75,-1.66%,"407,821","34,856,982.50"
174,2025/3/25,86.87,87.67,86.87,87.20,-0.62%,"207,123","17,433,086.00"
175,2025/3/24,88.25,88.25,87.62,87.74,-0.05%,"198,009","16,920,966.80"
176,2025/3/21,88.07,88.07,87.70,87.78,-0.01%,"133,486","11,355,797.50"
177,2025/3/20,87.87,88.12,87.75,87.79,-0.09%,"42,050","3,603,275.00"
178,2025/3/17,87.87,87.87,87.87,87.87,-0.76%,"102,423","8,813,224.00"
179,2025/3/14,88.54,88.54,88.54,88.54,+0.57%,"110,000","9,420,000.00"
180,2025/3/13,88.03,88.04,88.00,88.04,+1.66%,"85,091","7,472,004.42"
181,2025/3/12,87.00,87.00,86.50,86.60,-1.72%,"18,596","1,587,160.00"
182,2025/3/11,88.12,88.12,88.12,88.12,-0.84%,"210,000","18,350,000.00"
183,2025/3/10,88.87,88.87,88.87,88.87,-0.84%,566,"49,242.00"
184,2025/3/6,89.62,89.62,89.62,89.62,+0.56%,"101,300","8,766,987.00"
185,2025/3/5,89.12,89.12,89.12,89.12,-0.15%,"5,000","440,000.00"
186,2025/3/4,89.75,89.75,89.25,89.25,-0.62%,"4,000","353,000.00"
187,2025/3/3,89.81,89.81,89.81,89.81,+0.28%,"100,001","8,874,090.00"
188,2025/2/28,89.62,89.62,89.37,89.56,-0.21%,"273,950","23,786,550.00"
189,2025/2/27,89.75,89.75,89.75,89.75,0,"100,000","8,900,000.00"
190,2025/2/26,90.87,90.87,89.75,89.75,-1.19%,"60,050","5,369,500.00"
191,2025/2/25,90.87,91.87,90.62,90.83,+1.05%,"187,174","17,037,430.12"
192,2025/2/24,89.89,89.89,89.89,89.89,-0.01%,"5,000","450,000.00"
193,2025/2/21,90.40,90.40,89.87,89.90,-0.64%,"38,906","3,482,090.00"
194,2025/2/20,91.74,91.74,90.37,90.48,-0.83%,"119,594","10,802,445.00"
195,2025/2/19,91.24,91.24,91.24,91.24,+0.08%,"74,000","6,697,000.00"
